Repository URL,Linked Databases,"description
(yes/no)","keywords
(yes/no)","readme
(yes/no)","codeofconduct
(yes/no)","license
(type)","purpose
(why?)",notes
https://github.com/18F/pa11y-scan,"[The National Map,Ag Data Commons]",no,no,no,no,no,scraper,I'm not sure what this is really for.  It seems to scrape websites for some reason.
https://github.com/40243225/AA,[GeoGratis],yes,no,yes,yes,no,fork,Seems to be a fork of GeoServer
https://github.com/actris/data-management-plan,"[TERRA,EMEP]",yes,no,yes,no,yes,documentation,A data management plan
https://github.com/Aksgan/ADS_Proj3,"[British Geological Survey,EDINA,NEEShub]",yes,no,no,no,no,scraper,"Not clear what this is, some sort of document scraper?"
https://github.com/AltimatOS/libLSI,[GeoGratis],,,,,,,
https://github.com/amnh-sciviz/ir-clouds,[GHRC],,,,,,,
https://github.com/andre-fuchs/kerning-pairs,[Encyclopedia of Astronomy and Astrophysics],,,,,,,
https://github.com/andrew-hipp/oak-convergence-2017,[GEON],,,,,,,
https://github.com/andymbryant/dataverse-map-vue,"[heiDATA,Libra Data,CIRAD Dataverse,UNB Libraries Dataverse]",,,,,,,
https://github.com/aptivate/ckanext-hdx_users,[Humanitarian Data Exchange],,,,,,,
https://github.com/asanchezc91/DataThlon2018_proj,[Spatial Data Repository],,,,,,,
https://github.com/AusDTO/dta-website,"[The National Map,Data.gov.au]",,,,,,,
https://github.com/ayaderaghul/cite,[EDINA],,,,,,,
https://github.com/AzamYahya/09_DevelopingDataProducts,"[Data.gov.au,GOVDATA]",,,,,,,
https://github.com/bangalorebyte-cohort12/Bagging-RandomForest-GradientBoosting,[Climate Data Online],,,,,,,
https://github.com/Barnard-Botany/portfolio-3-francess2124,[TreeBASE],,,,,,,
https://github.com/Barnard-Botany/portfolio-3-lenavkogan,[TreeBASE],,,,,,,
https://github.com/bollebink/Coursera,"[Data.gov.au,GOVDATA]",,,,,,,
https://github.com/bravegrape/technically-writing,[NASA Image and Video Library],,,,,,,
https://github.com/Cakarena/CS-3,[Data.gov.au],,,,,,,
https://github.com/carospark/ewe_nutrientsupply,[EM-DAT],,,,,,,
https://github.com/CauCapstoneDesign/stellarium-custom,[IAU Minor Planet Center],,,,,,,
https://github.com/ccawarenessaction/hello_world,"[NCEI,Alaska Climate Research Center]",,,,,,,
https://github.com/cedardevs/onestop-test-data,"[Remote Sensing Systems,Physical Oceanography Distributed Active Archive Center,CoRIS]",,,,,,,
https://github.com/cga-wm/cga-wm.github.io,"[The National Map,Humanitarian Data Exchange,TERRA]",,,,,,,
https://github.com/chinapedia/wikipedia.abstract.en,"[British Geological Survey,ITIS,The World Atlas of Language Structures,EMEP]",,,,,,,
